LB,AC,FM,UC,DL,DS,DP,CLASS
'\'(116.8-122.2]\'','\'(-inf-0.0019]\'','\'(-inf-0.0481]\'','\'(-inf-0.0015]\'','\'(-inf-0.0015]\'','\'(-inf-0.0001]\'','\'(-inf-0.0005]\'',9
'\'(127.6-133]\'','\'(0.0057-0.0076]\'','\'(-inf-0.0481]\'','\'(0.0045-0.006]\'','\'(0.0015-0.003]\'','\'(-inf-0.0001]\'','\'(-inf-0.0005]\'',6
'\'(127.6-133]\'','\'(0.0019-0.0038]\'','\'(-inf-0.0481]\'','\'(0.0075-0.009]\'','\'(0.0015-0.003]\'','\'(-inf-0.0001]\'','\'(-inf-0.0005]\'',6
'\'(133-138.4]\'','\'(0.0019-0.0038]\'','\'(-inf-0.0481]\'','\'(0.0075-0.009]\'','\'(0.0015-0.003]\'','\'(-inf-0.0001]\'','\'(-inf-0.0005]\'',6
'\'(127.6-133]\'','\'(0.0057-0.0076]\'','\'(-inf-0.0481]\'','\'(0.0075-0.009]\'','\'(-inf-0.0015]\'','\'(-inf-0.0001]\'','\'(-inf-0.0005]\'',2
'\'(133-138.4]\'','\'(-inf-0.0019]\'','\'(-inf-0.0481]\'','\'(0.009-0.0105]\'','\'(0.0075-0.009]\'','\'(-inf-0.0001]\'','\'(0.0015-0.002]\'',8
'\'(133-138.4]\'','\'(-inf-0.0019]\'','\'(-inf-0.0481]\'','\'(0.012-0.0135]\'','\'(0.0075-0.009]\'','\'(-inf-0.0001]\'','\'(0.0025-0.003]\'',8
'\'(116.8-122.2]\'','\'(-inf-0.0019]\'','\'(-inf-0.0481]\'','\'(-inf-0.0015]\'','\'(-inf-0.0015]\'','\'(-inf-0.0001]\'','\'(-inf-0.0005]\'',9
'\'(116.8-122.2]\'','\'(-inf-0.0019]\'','\'(-inf-0.0481]\'','\'(0.0015-0.003]\'','\'(-inf-0.0015]\'','\'(-inf-0.0001]\'','\'(-inf-0.0005]\'',9
'\'(116.8-122.2]\'','\'(-inf-0.0019]\'','\'(-inf-0.0481]\'','\'(0.0015-0.003]\'','\'(-inf-0.0015]\'','\'(-inf-0.0001]\'','\'(-inf-0.0005]\'',9
'\'(149.2-154.6]\'','\'(-inf-0.0019]\'','\'(-inf-0.0481]\'','\'(-inf-0.0015]\'','\'(-inf-0.0015]\'','\'(-inf-0.0001]\'','\'(-inf-0.0005]\'',10
'\'(149.2-154.6]\'','\'(-inf-0.0019]\'','\'(-inf-0.0481]\'','\'(-inf-0.0015]\'','\'(-inf-0.0015]\'','\'(-inf-0.0001]\'','\'(-inf-0.0005]\'',10
